,F1
PCT_SBP09,0.5992865636147443
FOODINSEC_10_12,0.6467136150234741
FDPIR12,0.6486168334314302
POPLOSS10,0.6499416569428238
PCT_LOCLSALE12,0.6512455516014235
LACCESS_HHNV10,0.652482269503546
PCH_CONVS_09_14,0.6532544378698224
PCT_NHNA10,0.6533018867924527
WICSPTH08,0.6537330981775427
FRESHVEG_ACRESPTH07,0.6533490011750881
WICSPTH12,0.6529653552554316
PCH_FRESHVEG_ACRESPTH_07_12,0.6521994134897361
PCH_SLHOUSE_07_12,0.6514084507042254
BERRY_ACRES12,0.6513815402704292
PCH_ORCHARD_ACRESPTH_07_12,0.6505598114319386
VEG_ACRESPTH12,0.6490610328638498
VEG_FARMS07,0.6505882352941177
FRESHVEG_ACRESPTH12,0.6482352941176471
BERRY_FARMS07,0.6497939964685109
PC_FFRSALES12,0.6478873239436619
PC_SNAPBEN10,0.6488991888760139
PC_FSRSALES07,0.6725873297809355
PCH_FRESHVEG_FARMS_07_12,0.681710213776722
REDEMP_SNAPS12,0.6873508353221958
eng_healthcare_costs_income_normalized,0.6923076923076924
PCT_NHWHITE10,0.6981246218995767
SODATAX_VENDM14,0.6999398677089597
PCH_ORCHARD_FARMS_07_12,0.7070828331332533
FFRPTH14,0.7083583884546001
SUPERCPTH09,0.7084337349397589
GHVEG_SQFTPTH07,0.7088607594936708
PCT_REDUCED_LUNCH14,0.7092882991556091
PCH_PC_DIRSALES_07_12,0.7097163548581774
PCH_FSRPTH_09_14,0.7097163548581774
PC_DIRSALES07,0.7097163548581774
VEG_ACRESPTH07,0.7092882991556091
ORCHARD_ACRESPTH12,0.7085093542546771
FRESHVEG_FARMS07,0.7077294685990339
PCH_PC_WIC_REDEMP_08_12,0.706875753920386
DIRSALES12,0.706875753920386
GROCPTH09,0.706875753920386
PC_DIRSALES12,0.706166868198307
BERRY_ACRESPTH12,0.7081570996978853
SLHOUSE12,0.7081570996978853
SNAP_REPORTSIMPLE09,0.7081570996978853
PCH_RECFAC_09_14,0.7077294685990339
SLHOUSE07,0.7076552139843278
PCT_65OLDER10,0.7080820265379975
PERPOV10,0.7080820265379975
PCT_LOCLSALE07,0.7080820265379975
FOODINSEC_CHILD_03_11,0.7075812274368231
PCH_SUPERC_09_14,0.7075812274368231
SNAP_PART_RATE08,0.706730769230769
BERRY_FARMS12,0.7068031306441902
GROCPTH14,0.7077294685990339
ORCHARD_ACRES07,0.7088607594936708
ORCHARD_ACRESPTH07,0.7092113184828417
PCH_AGRITRSM_RCT_07_12,0.7089371980676329
PCH_BERRY_FARMS_07_12,0.7097163548581774
SNAP_PART_RATE13,0.7101449275362319
PC_FSRSALES12,0.7128111718275653
CONVS14,0.7147220525351252
SNAP_BBCE09,0.7181372549019608
PCH_FFRPTH_09_14,0.7201469687691365
REDEMP_WICS12,0.7205882352941176
PERCHLDPOV10,0.7198038013488658
BERRY_ACRESPTH07,0.7202453987730062
PCH_WICSPTH_08_12,0.7203441917639829
FOODINSEC_CHILD_01_07,0.7206875383670964
PCH_BERRY_ACRESPTH_07_12,0.7207317073170731
REDEMP_WICS08,0.7207317073170731
SUPERC14,0.7207317073170731
PCH_FRESHVEG_ACRES_07_12,0.7228327228327228
PCH_AGRITRSM_OPS_07_12,0.7232742822235797
SNAPS12,0.7232742822235797
PCT_NHPI10,0.7229357798165138
SODATAX_STORES14,0.7228327228327228
CONVS09,0.7221884498480244
PCH_DIRSALES_07_12,0.7222898903775882
PCT_LACCESS_LOWI10,0.7228327228327228
PCH_BERRY_ACRES_07_12,0.7229357798165138
FARM_TO_SCHOOL09,0.7219512195121951
PCH_CSA_07_12,0.7219512195121951
PCH_REDEMP_WICS_08_12,0.7215112736136502
PCH_VEG_FARMS_07_12,0.7215112736136502
RECFACPTH14,0.7211714460036608
PCT_LACCESS_POP10,0.7212713936430317
PCT_LACCESS_SENIORS10,0.7212713936430317
PCT_REDUCED_LUNCH09,0.7211714460036608
FRESHVEG_ACRES07,0.7209302325581396
FFR14,0.7214111922141119
FSR14,0.7211714460036608
BERRY_ACRES07,0.7213717085119412
RECFACPTH09,0.7221542227662179
ORCHARD_ACRES12,0.7219512195121951
RECFAC09,0.7219512195121951
GROC09,0.7215112736136502
PCT_SNAP12,0.720292504570384
GROC14,0.720292504570384
RECFAC14,0.720292504570384
ORCHARD_FARMS07,0.7200971463266544
SNAP_CAP09,0.719756838905775
PCH_GROC_09_14,0.7195121951219512
PCH_ORCHARD_ACRES_07_12,0.7195121951219512
FSR09,0.7194157029823492
SPECS14,0.7187309334960341
PCH_VEG_ACRES_07_12,0.7189222290263318
PC_WIC_REDEMP12,0.7193627450980393
PCH_SPECS_09_14,0.7189222290263318
PC_WIC_REDEMP08,0.7193627450980393
PCT_NHASIAN10,0.7184822521419828
PCH_WICS_08_12,0.7171655467318265
Standardized Risk-Adjusted Per Capita Costs,0.7167277167277167
PCH_SPECSPTH_09_14,0.7172582619339045
ORCHARD_FARMS12,0.7163814180929096
FSRPTH14,0.7157765500306936
HC03_VC131,0.714987714987715
SNAPSPTH12,0.7146371463714638
PCH_FSR_09_14,0.7158671586715868
FMRKTPTH09,0.7162162162162162
GHVEG_SQFT07,0.718865598027127
PCH_CONVSPTH_09_14,0.718865598027127
FFRPTH09,0.7180752621838372
AGRITRSM_OPS07,0.7174447174447175
Average HCC Score,0.7185775597792765
PCT_LACCESS_CHILD10,0.7231430325352978
SUPERC09,0.7239263803680982
PCH_FFR_09_14,0.7224615384615385
PCH_GROCPTH_09_14,0.7232472324723247
FRESHVEG_ACRES12,0.72
AGRITRSM_RCT07,0.718865598027127
PCH_GHVEG_SQFT_07_12,0.7187692307692306
PCH_GHVEG_SQFTPTH_07_12,0.7183271832718328
SNAP_OAPP09,0.7171903881700553
FSRPTH09,0.715076923076923
WICS08,0.715607649599013
FFR09,0.7152563310685608
GHVEG_FARMS07,0.7143738433066009
PCH_GHVEG_FARMS_07_12,0.7152563310685608
GHVEG_SQFTPTH12,0.7169344870210137
GHVEG_FARMS12,0.7165841584158416
PCH_RECFACPTH_09_14,0.717377860235003
FMRKT09,0.7172839506172839
PCT_FREE_LUNCH14,0.7159581022797288
WICS12,0.7147258163894024
PC_FFRSALES07,0.7139334155363749
AGRITRSM_OPS12,0.7122612446087491
SUPERCPTH14,0.7140210006176652
SODA_PRICE10,0.7131400370141888
DIRSALES07,0.7127003699136868
PCT_NHBLACK10,0.7127003699136868
PCT_SFSP09,0.7120743034055729
PCT_CACFP09,0.7142857142857143
CONVSPTH09,0.7167701863354038
PCT_NSLP09,0.7163252638112974
VLFOODSEC_10_12,0.7166769993800373
PCT_WIC09,0.7166769993800373
HC01_VC118,0.7157894736842105
SPECS09,0.7174721189591077
HC01_VC86,0.7162329615861214
VEG_ACRES12,0.714904143475572
VEG_ACRES07,0.714904143475572
PCT_FREE_LUNCH09,0.7132262051915946
PCH_SUPERCPTH_09_14,0.7133126934984519
PCT_LACCESS_HHNV10,0.7117172969621822
PCT_LOCLFARM07,0.7121588089330025
PCH_DIRSALES_FARMS_07_12,0.7118855009334163
CSA07,0.7142857142857143
PCT_18YOUNGER10,0.7172156619018024
PCT_DIABETES_ADULTS13,0.7168637212196639
VEG_FARMS12,0.7164179104477613
PCT_LOCLFARM12,0.7149938042131351
FARM_TO_SCHOOL13,0.7125154894671624
MILK_SODA_PRICE10,0.7162329615861214
FRESHVEG_FARMS12,0.7158808933002481
MILK_PRICE10,0.7146401985111662
DIRSALES_FARMS07,0.714904143475572
CSA12,0.7149938042131351
PCT_HISP10,0.7154370737755734
LACCESS_CHILD10,0.7150837988826816
PCH_VEG_ACRESPTH_07_12,0.718204488778055
PCT_DIABETES_ADULTS08,0.7184586699813549
LACCESS_LOWI10,0.7198007471980074
LACCESS_POP10,0.7185554171855542
LACCESS_SENIORS10,0.7176616915422888
SPECSPTH09,0.7172156619018024
DIRSALES_FARMS12,0.7167701863354038
SPECSPTH14,0.7163252638112974
CONVSPTH14,0.7164179104477613
CHIPSTAX_VENDM14,0.7148194271481945
PCT_OBESE_ADULTS08,0.7151741293532339
AGRITRSM_RCT12,0.7144638403990026
GHVEG_SQFT12,0.712772585669782
METRO13,0.7108057464084946
PCT_OBESE_ADULTS13,0.7087500000000001
CHIPSTAX_STORES14,0.701688555347092
FOOD_TAX14,0.701688555347092
