,F1
REDEMP_SNAPS12,0.7160493827160495
PCT_SNAP12,0.7160493827160495
PC_SNAPBEN10,0.6987951807228916
SNAP_PART_RATE08,0.7195121951219512
SNAP_PART_RATE13,0.7160493827160495
SNAP_OAPP09,0.7116564417177914
SNAP_CAP09,0.7160493827160495
SNAP_BBCE09,0.7160493827160495
SNAP_REPORTSIMPLE09,0.7116564417177914
PCT_NSLP09,0.732919254658385
PCT_FREE_LUNCH09,0.7151515151515151
PCT_FREE_LUNCH14,0.7160493827160495
PCT_REDUCED_LUNCH09,0.7195121951219512
PCT_REDUCED_LUNCH14,0.7160493827160495
PCT_SBP09,0.7317073170731707
PCT_SFSP09,0.7151515151515151
PC_WIC_REDEMP08,0.7160493827160495
PC_WIC_REDEMP12,0.7160493827160495
PCH_PC_WIC_REDEMP_08_12,0.7116564417177914
REDEMP_WICS08,0.7160493827160495
REDEMP_WICS12,0.7160493827160495
PCH_REDEMP_WICS_08_12,0.7160493827160495
PCT_WIC09,0.7116564417177914
PCT_CACFP09,0.7116564417177914
FDPIR12,0.7160493827160495
PCT_NHWHITE10,0.7160493827160495
PCT_NHBLACK10,0.7073170731707316
PCT_HISP10,0.7160493827160495
PCT_NHASIAN10,0.7160493827160495
PCT_NHNA10,0.7116564417177914
PCT_NHPI10,0.7160493827160495
PCT_65OLDER10,0.7185628742514969
PCT_18YOUNGER10,0.7116564417177914
PERPOV10,0.7116564417177914
PERCHLDPOV10,0.7116564417177914
METRO13,0.7116564417177914
POPLOSS10,0.6987951807228916
DIRSALES_FARMS07,0.7116564417177914
DIRSALES_FARMS12,0.7160493827160495
PCT_LOCLFARM07,0.7116564417177914
PCT_LOCLFARM12,0.7073170731707316
PCT_LOCLSALE07,0.7204968944099379
PCT_LOCLSALE12,0.7160493827160495
DIRSALES07,0.7160493827160495
DIRSALES12,0.7204968944099379
PCH_DIRSALES_07_12,0.7160493827160495
PC_DIRSALES07,0.7160493827160495
PC_DIRSALES12,0.7116564417177914
PCH_PC_DIRSALES_07_12,0.7160493827160495
FMRKT09,0.7080745341614907
FMRKTPTH09,0.7283950617283951
VEG_FARMS07,0.7160493827160495
VEG_FARMS12,0.7116564417177914
PCH_VEG_FARMS_07_12,0.7116564417177914
VEG_ACRES07,0.7160493827160495
VEG_ACRES12,0.7160493827160495
PCH_VEG_ACRES_07_12,0.7160493827160495
VEG_ACRESPTH07,0.7160493827160495
VEG_ACRESPTH12,0.7160493827160495
PCH_VEG_ACRESPTH_07_12,0.7272727272727272
FRESHVEG_FARMS07,0.7116564417177914
FRESHVEG_FARMS12,0.7116564417177914
PCH_FRESHVEG_FARMS_07_12,0.7116564417177914
FRESHVEG_ACRES07,0.7160493827160495
FRESHVEG_ACRES12,0.7160493827160495
PCH_FRESHVEG_ACRES_07_12,0.7160493827160495
FRESHVEG_ACRESPTH07,0.7160493827160495
FRESHVEG_ACRESPTH12,0.7160493827160495
PCH_FRESHVEG_ACRESPTH_07_12,0.7160493827160495
ORCHARD_FARMS07,0.7160493827160495
ORCHARD_FARMS12,0.7160493827160495
PCH_ORCHARD_FARMS_07_12,0.6987951807228916
ORCHARD_ACRES07,0.7160493827160495
ORCHARD_ACRES12,0.7160493827160495
PCH_ORCHARD_ACRES_07_12,0.7160493827160495
ORCHARD_ACRESPTH07,0.7116564417177914
ORCHARD_ACRESPTH12,0.7160493827160495
PCH_ORCHARD_ACRESPTH_07_12,0.7116564417177914
BERRY_FARMS07,0.7116564417177914
BERRY_FARMS12,0.7160493827160495
PCH_BERRY_FARMS_07_12,0.7160493827160495
BERRY_ACRES07,0.7116564417177914
BERRY_ACRES12,0.7160493827160495
PCH_BERRY_ACRES_07_12,0.7160493827160495
