,F1
REDEMP_SNAPS12,0.7361963190184049
PCT_SNAP12,0.732919254658385
PC_SNAPBEN10,0.6987951807228916
SNAP_PART_RATE08,0.738095238095238
SNAP_PART_RATE13,0.7407407407407406
SNAP_OAPP09,0.7283950617283951
SNAP_CAP09,0.7407407407407406
SNAP_BBCE09,0.7204968944099379
SNAP_REPORTSIMPLE09,0.7407407407407406
PCT_FREE_LUNCH09,0.7239263803680981
PCT_FREE_LUNCH14,0.7407407407407406
PCT_REDUCED_LUNCH09,0.7439024390243901
PCT_REDUCED_LUNCH14,0.7407407407407406
PCT_SBP09,0.7239263803680981
PCT_SFSP09,0.7349397590361444
PC_WIC_REDEMP08,0.7407407407407406
PC_WIC_REDEMP12,0.7407407407407406
PCH_PC_WIC_REDEMP_08_12,0.7361963190184049
REDEMP_WICS08,0.7407407407407406
REDEMP_WICS12,0.7407407407407406
PCH_REDEMP_WICS_08_12,0.7407407407407406
PCT_WIC09,0.7361963190184049
PCT_CACFP09,0.7160493827160495
FDPIR12,0.732919254658385
PCT_NHWHITE10,0.7407407407407406
PCT_NHBLACK10,0.7283950617283951
PCT_HISP10,0.732919254658385
PCT_NHASIAN10,0.725
PCT_NHNA10,0.732919254658385
PCT_NHPI10,0.7407407407407406
PCT_65OLDER10,0.7272727272727272
PCT_18YOUNGER10,0.7204968944099379
PERPOV10,0.7407407407407406
PERCHLDPOV10,0.7239263803680981
METRO13,0.7195121951219512
POPLOSS10,0.7228915662650601
DIRSALES_FARMS07,0.7283950617283951
DIRSALES_FARMS12,0.7407407407407406
PCT_LOCLFARM07,0.7407407407407406
PCT_LOCLFARM12,0.7195121951219512
PCT_LOCLSALE07,0.732919254658385
PCT_LOCLSALE12,0.7407407407407406
DIRSALES07,0.7407407407407406
DIRSALES12,0.7361963190184049
PCH_DIRSALES_07_12,0.7407407407407406
PC_DIRSALES07,0.732919254658385
PC_DIRSALES12,0.7283950617283951
PCH_PC_DIRSALES_07_12,0.7407407407407406
FMRKT09,0.725
FMRKTPTH09,0.732919254658385
VEG_FARMS07,0.7407407407407406
VEG_FARMS12,0.7361963190184049
VEG_ACRES07,0.7407407407407406
VEG_ACRES12,0.7407407407407406
PCH_VEG_ACRES_07_12,0.7407407407407406
VEG_ACRESPTH07,0.7407407407407406
VEG_ACRESPTH12,0.7407407407407406
PCH_VEG_ACRESPTH_07_12,0.7185628742514969
FRESHVEG_FARMS07,0.7361963190184049
FRESHVEG_FARMS12,0.7407407407407406
PCH_FRESHVEG_FARMS_07_12,0.7407407407407406
FRESHVEG_ACRES07,0.7407407407407406
FRESHVEG_ACRES12,0.7407407407407406
PCH_FRESHVEG_ACRES_07_12,0.7407407407407406
FRESHVEG_ACRESPTH07,0.7407407407407406
FRESHVEG_ACRESPTH12,0.7407407407407406
PCH_FRESHVEG_ACRESPTH_07_12,0.7407407407407406
ORCHARD_FARMS07,0.7407407407407406
ORCHARD_FARMS12,0.7407407407407406
PCH_ORCHARD_FARMS_07_12,0.7317073170731707
ORCHARD_ACRES07,0.7407407407407406
ORCHARD_ACRES12,0.7407407407407406
PCH_ORCHARD_ACRES_07_12,0.7407407407407406
ORCHARD_ACRESPTH07,0.7407407407407406
ORCHARD_ACRESPTH12,0.7407407407407406
PCH_ORCHARD_ACRESPTH_07_12,0.7407407407407406
BERRY_FARMS07,0.7361963190184049
BERRY_FARMS12,0.7407407407407406
PCH_BERRY_FARMS_07_12,0.7407407407407406
BERRY_ACRES07,0.7361963190184049
BERRY_ACRES12,0.7407407407407406
PCH_BERRY_ACRES_07_12,0.7407407407407406
BERRY_ACRESPTH07,0.7407407407407406
BERRY_ACRESPTH12,0.7361963190184049
PCH_BERRY_ACRESPTH_07_12,0.7407407407407406
SLHOUSE07,0.7283950617283951
SLHOUSE12,0.7407407407407406
PCH_SLHOUSE_07_12,0.7283950617283951
GHVEG_FARMS07,0.7361963190184049
GHVEG_FARMS12,0.7407407407407406
PCH_GHVEG_FARMS_07_12,0.7407407407407406
GHVEG_SQFT07,0.7407407407407406
GHVEG_SQFT12,0.7407407407407406
PCH_GHVEG_SQFT_07_12,0.7407407407407406
GHVEG_SQFTPTH07,0.7361963190184049
GHVEG_SQFTPTH12,0.7407407407407406
PCH_GHVEG_SQFTPTH_07_12,0.7407407407407406
CSA07,0.7239263803680981
CSA12,0.7361963190184049
PCH_CSA_07_12,0.7272727272727272
AGRITRSM_OPS07,0.7239263803680981
AGRITRSM_OPS12,0.7317073170731707
PCH_AGRITRSM_OPS_07_12,0.7317073170731707
AGRITRSM_RCT07,0.732919254658385
AGRITRSM_RCT12,0.7239263803680981
PCH_AGRITRSM_RCT_07_12,0.7407407407407406
FARM_TO_SCHOOL09,0.7407407407407406
FARM_TO_SCHOOL13,0.7239263803680981
FOODINSEC_10_12,0.7407407407407406
VLFOODSEC_10_12,0.7361963190184049
FOODINSEC_CHILD_01_07,0.7407407407407406
FOODINSEC_CHILD_03_11,0.7374999999999999
LACCESS_POP10,0.7407407407407406
PCT_LACCESS_POP10,0.7407407407407406
LACCESS_LOWI10,0.7361963190184049
PCT_LACCESS_LOWI10,0.732919254658385
LACCESS_HHNV10,0.7407407407407406
PCT_LACCESS_HHNV10,0.7407407407407406
LACCESS_CHILD10,0.7283950617283951
PCT_LACCESS_CHILD10,0.7361963190184049
LACCESS_SENIORS10,0.7283950617283951
PCT_LACCESS_SENIORS10,0.7407407407407406
PCT_DIABETES_ADULTS08,0.7407407407407406
PCT_DIABETES_ADULTS13,0.7407407407407406
PCT_OBESE_ADULTS08,0.725
PCT_OBESE_ADULTS13,0.7272727272727272
RECFAC09,0.7407407407407406
RECFAC14,0.7407407407407406
PCH_RECFAC_09_14,0.7407407407407406
RECFACPTH09,0.7407407407407406
RECFACPTH14,0.7407407407407406
PCH_RECFACPTH_09_14,0.7407407407407406
MILK_PRICE10,0.7407407407407406
SODA_PRICE10,0.7407407407407406
MILK_SODA_PRICE10,0.7283950617283951
SODATAX_STORES14,0.7283950617283951
SODATAX_VENDM14,0.7195121951219512
CHIPSTAX_STORES14,0.7407407407407406
CHIPSTAX_VENDM14,0.6993865030674846
FOOD_TAX14,0.7407407407407406
GROC09,0.7407407407407406
GROC14,0.7407407407407406
PCH_GROC_09_14,0.7407407407407406
GROCPTH09,0.7407407407407406
GROCPTH14,0.7407407407407406
PCH_GROCPTH_09_14,0.732919254658385
SUPERC09,0.7407407407407406
SUPERC14,0.7407407407407406
PCH_SUPERC_09_14,0.7283950617283951
SUPERCPTH09,0.732919254658385
SUPERCPTH14,0.7407407407407406
PCH_SUPERCPTH_09_14,0.7239263803680981
CONVS09,0.7407407407407406
CONVS14,0.7407407407407406
PCH_CONVS_09_14,0.7407407407407406
CONVSPTH09,0.7283950617283951
CONVSPTH14,0.7195121951219512
PCH_CONVSPTH_09_14,0.7407407407407406
SPECS09,0.7407407407407406
SPECS14,0.7407407407407406
PCH_SPECS_09_14,0.732919254658385
SPECSPTH09,0.732919254658385
SPECSPTH14,0.7195121951219512
PCH_SPECSPTH_09_14,0.7407407407407406
SNAPS12,0.7407407407407406
SNAPSPTH12,0.7407407407407406
WICS08,0.7407407407407406
WICS12,0.7407407407407406
PCH_WICS_08_12,0.732919254658385
WICSPTH08,0.7283950617283951
WICSPTH12,0.732919254658385
PCH_WICSPTH_08_12,0.732919254658385
FFR09,0.7407407407407406
FFR14,0.7407407407407406
PCH_FFR_09_14,0.7407407407407406
FFRPTH09,0.7407407407407406
FFRPTH14,0.7407407407407406
PCH_FFRPTH_09_14,0.7407407407407406
FSR09,0.7407407407407406
FSR14,0.7407407407407406
PCH_FSR_09_14,0.732919254658385
FSRPTH09,0.7261904761904762
FSRPTH14,0.7272727272727272
PCH_FSRPTH_09_14,0.7407407407407406
PC_FFRSALES07,0.7283950617283951
PC_FFRSALES12,0.7283950617283951
PC_FSRSALES07,0.7073170731707316
PC_FSRSALES12,0.703030303030303
full_baseline,0.7407407407407406
